tconst,averagerating,numvotes,directors,writers
tt10356526,8.3,31,nm8353804,"nm3057599,nm4179342"
tt1042974,6.4,20,nm1915232,nm1915232
tt1043726,4.2,50352,nm0001317,"nm0393517,nm0316417,nm0001317,nm1048866"
tt1060240,6.5,21,nm1926349,nm1926349
tt1069246,6.2,326,nm0868643,"nm2726004,nm0140502,nm1523568,nm0868643"
tt1094666,7.0,1613,nm1464150,"nm1670295,nm1559624"
tt1130982,6.4,571,nm1292833,"nm1305724,nm1292833"
tt1156528,7.2,265,nm0121203,nm0121203
tt1161457,4.2,148,nm2874896,nm2874896
tt1171222,5.1,8296,nm0847859,nm0847859
tt1174693,5.8,2381,nm0153774,nm2903680
tt1181840,7.0,5494,"nm0540962,nm1071849",nm0540962
tt1193623,8.0,5,nm1746428,"nm0218725,nm0563248"
tt1199588,5.5,74,nm0736402,nm0736402
tt1210166,7.6,326657,nm0587955,"nm0001873,nm0815070,nm3133181,nm1034122"
tt1212419,6.5,87288,nm0000142,nm0604948
tt1220911,5.0,941,nm0213354,"nm7246799,nm0288263,nm1122337,nm0213354,nm1132407,nm2319782,nm2314530,nm0975322,nm0819522,nm0000359"
tt1229238,7.4,428142,nm0083348,"nm0312367,nm0032227,nm0625858"
tt1232829,7.2,477771,"nm0588087,nm0520488","nm0045209,nm1706767,nm0367895,nm0004798"
tt1235548,6.6,2725,nm3017750,"nm1039584,nm3530498,nm1130251"
tt1243974,5.4,54646,nm0001081,nm0001081
tt1250861,6.2,416,nm2359023,"nm2359023,nm0072797"
tt1258812,4.0,21,nm2315511,nm2315511
tt1261945,4.4,69199,nm0455078,"nm0455078,nm0124299,nm0823015"
tt1266037,7.0,1413,nm0304921,"nm3035044,nm0087646,nm0304921,nm0867374"
tt1270291,5.8,5728,nm0004611,"nm1414878,nm0004611"
tt1270761,5.6,44490,nm2552536,"nm0868219,nm0730422,nm0571111"
tt1272886,6.1,6688,nm0959774,nm2411346
tt1274297,5.4,381,nm0224020,"nm0116263,nm0224020,nm0503182"
tt1283887,5.4,2527,nm0484907,nm0484907
tt1285219,3.4,387,nm2509543,nm2509543
tt1290476,7.2,6,nm1205729,nm1842542
tt1294141,4.5,113,"nm0761349,nm0458517",nm0458517
tt1320239,6.2,18431,nm0000484,"nm0039328,nm1319618"
tt1322312,6.3,54421,nm0123379,nm3192484
tt1323962,5.1,101,nm2310557,nm2310557
tt1325014,6.7,4240,nm1465431,nm1465431
tt1325019,7.2,29,nm2761772,nm2761772
tt1326743,8.4,21,nm1099660,"nm0633177,nm1099660"
tt1327602,7.8,8,nm1742311,nm1742311
tt1328913,5.2,738,nm0288055,nm0288055
tt1331329,3.6,1621,nm0093051,nm1725514
tt1332570,2.1,17,nm1547819,"nm1547819,nm1969135"
tt1343110,2.5,345,nm2193710,nm2193710
tt1343740,4.6,495,nm0817878,"nm0300800,nm0282105"
tt1352393,7.7,1293,nm2569082,"nm4677225,nm0077094,nm3939043,nm2569082,nm2571924,nm2661515"
tt1360829,5.0,223,nm1491597,"nm1198562,nm1528013"
tt1368858,5.4,4302,nm2940732,"nm0209856,nm2940732"
tt1374988,6.1,163,nm0755974,nm0755974
tt1376213,5.4,5257,nm0628146,"nm0995597,nm0003953,nm2239151"
tt1379736,5.7,15,nm1509706,"nm1673285,nm1509706"
tt1381418,5.4,6220,nm0373154,nm0373154
tt1400515,3.5,1701,nm1636259,"nm1636259,nm1791384"
tt1403981,7.1,129443,nm0002339,nm3391497
tt1403990,8.5,31,nm3171761,"nm3382902,nm3171761"
tt1404830,5.3,1768,nm1836759,"nm1836759,nm0304629"
tt1409015,8.2,40,nm0047419,nm0047419
tt1417086,7.5,197,nm0705535,nm0705535
tt1418760,6.4,1502,nm0073888,"nm0344498,nm0073888"
tt1420547,6.1,16,nm3427646,"nm3427646,nm1813836,nm1665295"
tt1422020,7.0,10025,nm1320966,"nm3429638,nm1320966"
tt1426379,3.8,9,nm0653083,"nm3436806,nm0502859,nm0653083"
tt1426385,4.9,19,nm0815738,"nm1779932,nm3436421,nm0815738"
tt1428464,6.4,227,nm1764630,"nm2464571,nm2470510,nm1764630"
tt1438493,6.3,86,nm0135724,nm0135724
tt1443518,5.5,297,nm1564826,nm1563165
tt1447483,6.9,28,nm0280755,"nm0280755,nm2684668,nm2191088"
tt1456110,6.5,60,nm1037507,"nm3488471,nm1037507,nm0878095"
tt1460743,6.9,6990,"nm0000247,nm0989998",nm0989998
tt1465505,6.4,5273,nm0750121,nm0750121
tt1465519,4.7,1497,nm1141083,"nm0140109,nm1141083,nm0764704"
tt1467290,6.3,173,nm1768943,"nm3805595,nm1768943,nm0379864"
tt1468387,6.5,2306,nm0420817,"nm0465484,nm0621665,nm0813301"
tt1474456,3.2,103,nm3547625,"nm3548946,nm3547625"
tt1478277,2.6,102,nm0637297,"nm2315988,nm0441078,nm0637297"
tt1479320,5.6,143,nm0193010,"nm0193010,nm3545463,nm3587219"
tt1480670,5.2,303,nm2270632,nm2270632
tt1486670,4.7,3713,nm1266897,nm1266897
tt1488109,8.2,14,nm0734628,nm0734628
tt1492849,5.2,534,nm1587590,nm1587590
tt1499658,6.9,398695,nm1164861,"nm0002864,nm0197855,nm0326246"
tt1508689,4.7,16,nm0008409,nm0008409
tt1510989,3.9,83,nm2540112,"nm2540112,nm2286327"
tt1512098,5.9,33,"nm3617681,nm0476146",nm3617681
tt1512102,5.9,67,nm2527310,"nm3955616,nm3955657,nm2527310"
tt1512893,3.4,212,nm0084819,"nm0084819,nm1194312,nm1212019,nm0641045"
tt1515208,6.3,1447,nm2005149,"nm0325374,nm1103773,nm0811468"
tt1516577,5.3,147,nm1642229,nm1642229
tt1516595,4.4,64,nm1507113,nm1507113
tt1517225,7.4,2189,nm0954099,"nm0590503,nm0954099,nm3625304"
tt1521782,6.8,19,nm0024173,nm0024173
tt1527710,7.7,29,nm1192538,nm1192538
tt1527723,7.3,9,nm0998058,nm0998058
tt1527821,6.1,160,nm2488902,nm2488902
tt1528274,7.8,11,nm1068630,"nm2326018,nm1068630"
tt1534084,4.5,875,nm0078704,"nm0078704,nm0099398"
tt1535109,7.8,387402,nm0339030,"nm0712753,nm3697679,nm5643170"
tt1535491,7.0,3218,nm1922242,"nm1393925,nm4040545,nm4040235,nm1922242"
tt1535611,6.8,20,nm0312078,nm0312078
tt1537385,8.0,53,nm3672532,"nm3381916,nm3672532"
tt1538545,5.8,821,nm0894178,"nm0195720,nm0520936,nm0894178"
tt1538833,7.2,395,nm1943168,nm3671868
tt1538988,7.1,224,nm0310591,nm0310591
tt1539042,5.5,382,nm2413048,"nm3672474,nm2413048"
tt1545489,4.9,137,nm0879283,"nm0290777,nm1473606,nm3692838,nm1258702,nm0879283,nm0885407,nm0944360"
tt1547032,7.0,7,nm3699848,nm3684132
tt1549572,7.0,85839,nm2648685,"nm2648685,nm1779870"
tt1555187,2.0,164,nm3321808,"nm0246511,nm2472291,nm4635054,nm2276427,nm0871121"
tt1558741,5.1,430,nm0002178,"nm0039903,nm0002178,nm0756696"
tt1559035,7.5,34,nm1995556,nm1995556
tt1560962,6.0,7,nm2591458,"nm3721656,nm2591458"
tt1562295,7.0,36,nm3530062,nm3567207
tt1563121,3.7,40,nm0677064,"nm0370977,nm1672194"
tt1564368,4.7,1522,nm1960122,nm2200621
tt1564870,5.6,614,nm0886734,nm0886734
tt1569505,6.1,231,nm1823277,"nm2518162,nm1823277"
tt1570962,5.8,172,nm0591472,"nm0591472,nm3740807"
tt1575538,8.2,5,"nm1231661,nm3742625",nm3742625
tt1575695,6.9,14,"nm2313701,nm2982543","nm3743277,nm2982543,nm2313701"
tt1580346,6.9,212,nm1573943,nm1573943
tt1582507,5.6,66303,nm0867127,"nm0521649,nm0609236"
tt1582546,7.4,2137,nm1442514,"nm4034632,nm0611970,nm1442514"
tt1584131,3.7,1071,nm0405374,nm0405374
tt1584146,3.4,186,nm2768373,nm2768373
tt1587107,4.0,8,nm1963808,nm3398645
tt1587699,7.0,79,"nm3125234,nm0250844","nm3125234,nm0250844"
tt1592528,5.9,30,"nm0122672,nm2359796","nm0122672,nm2359796"
tt1592531,5.9,32,nm0319187,"nm0071003,nm0319187"
tt1593726,5.8,44,nm3022658,nm1907447
tt1595379,7.4,14,"nm1771592,nm1461927","nm1461927,nm1771592"
tt1595637,2.4,310,nm1894313,nm3793603
tt1600197,3.0,349,nm0509627,nm2639020
tt1603379,3.5,102,nm3706030,"nm3699017,nm3706030,nm3682858"
tt1606215,5.6,118,nm3436850,nm3436850
tt1606706,7.3,63,"nm0033665,nm3820530",nm0033665
tt1608246,8.0,26,nm3324251,nm3324251
tt1608290,4.7,59914,nm0001774,"nm0857620,nm0001774,nm0831557,nm0357453,nm0766153"
tt1609150,5.4,36,"nm0647240,nm0146849,nm4170261,nm1699670,nm3552090,nm4170829,nm4169889,nm2602109,nm0483338,nm4169829,nm1496914,nm0815204,nm3695991,nm4170727,nm0519404,nm4952402,nm4169561,nm1768206,nm3092172,nm2754122,nm4207430,nm3129251,nm1065020,nm2001202,nm3715437,nm3089511","nm4170829,nm1699670,nm4170165,nm0146849,nm4169829,nm1496914,nm0193968,nm1065020,nm3129251,nm3695991,nm0483338,nm4169889,nm4170261,nm3552090,nm0519404,nm2754122,nm4207430,nm4170727,nm4169561,nm1768206,nm3092172,nm0647240,nm3089511,nm3715437,nm2001202,nm0815204,nm2602109"
tt1611878,7.8,10,nm2975571,nm2975571
tt1612608,5.8,1360,nm0057842,"nm0057842,nm0061085,nm1988254,nm0078704,nm0099398"
tt1614963,8.1,9,nm1402015,"nm1402015,nm0880370"
tt1615477,6.8,23,nm3608610,nm3608610
tt1615840,6.6,578,nm3834732,nm3834732
tt1615902,5.4,116,nm1384462,nm1384462
tt1618467,7.5,84,nm3844374,nm3844374
tt1620785,7.1,640,"nm1013662,nm0136255",nm3846949
tt1624411,5.6,32,nm1738245,nm1738245
tt1625155,7.4,1636,nm0133981,nm0133981
tt1628022,7.8,5,nm1318200,nm1318200
tt1628043,5.4,195,nm0432420,nm0432420
tt1629739,7.3,23,nm2217565,nm2217565
tt1629757,7.2,28994,"nm0000776,nm0000436","nm0758002,nm2249435,nm0393714"
tt1630311,4.8,32,nm3365495,nm3365495
tt1630607,3.5,210,nm0942527,nm0942527
tt1633248,5.7,56,nm1525331,"nm3864076,nm1525331"
tt1635429,5.7,110,nm0702855,nm0702855
tt1639427,6.3,137,nm0633729,"nm0467569,nm3915571"
tt1640219,2.8,114,nm3332321,nm3332321
tt1640484,5.7,9089,nm0015328,"nm0402804,nm1656428"
tt1642248,5.6,64,nm3882373,nm3882373
tt1645141,5.8,148,nm3188528,"nm2513107,nm3188528,nm3440193"
tt1647446,5.5,86,"nm3902031,nm3901911","nm5086749,nm3901075,nm3901911,nm3902031"
tt1650516,3.4,491,nm2833272,nm2833272
tt1655416,6.2,4670,nm0389591,nm0389591
tt1655420,7.0,79337,nm0193508,"nm0388130,nm1133610"
tt1659253,6.5,1603,nm0743239,"nm0032425,nm0082456,nm1636779,nm2049844"
tt1659343,5.1,18206,nm0404882,"nm0404882,nm1586036,nm0339040,nm0224537,nm0745330,nm0500609,nm0002041"
tt1660393,5.7,63,nm0316230,nm0316230
tt1661420,7.3,12506,nm0494069,"nm0494069,nm0073384"
tt1662557,7.4,4869,nm3936368,"nm3936368,nm1035649"
tt1662615,7.0,46,nm3936971,"nm3936971,nm0854458"
tt1662634,7.2,430,nm1027781,nm1027781
tt1663202,8.0,621193,nm0327944,"nm1872664,nm0327944,nm3488559"
tt1664837,8.3,25,nm2827877,nm2827877
tt1665807,7.2,6,nm3273085,nm3273085
tt1667417,3.7,484,nm2815884,"nm1140093,nm1215674"
tt1668191,7.5,27146,nm0877078,nm0877078
tt1671494,5.6,136,nm0798062,nm0798062
tt1671509,6.8,23,nm2385664,"nm3950027,nm2385664"
tt1671513,7.8,2553,nm3943114,"nm3943114,nm0295816"
tt1671714,7.1,13,"nm3944301,nm3946368,nm0993903","nm0993903,nm3946368,nm3944301"
tt1673732,8.0,20,nm0862907,nm0862907
tt1674746,6.6,10,nm3959715,nm3235240
tt1678037,4.4,275,nm1592228,"nm2958665,nm1224242,nm1592228"
tt1678052,5.2,349,nm0541308,"nm1998395,nm0541308"
tt1679290,6.1,108,nm3963684,nm3963684
tt1680045,6.2,15096,nm0576987,"nm0604948,nm0774217"
tt1681370,5.3,195,nm0954576,"nm1587775,nm0954576"
tt1682178,6.9,138,nm1390287,nm1390287
tt1683040,6.5,2826,nm0748919,"nm0748919,nm0124402,nm0405424"
tt1683919,4.3,73,nm0248373,nm0248373
tt1686326,4.8,113,nm0003931,nm2173404
tt1693106,5.8,48,nm0640031,nm1476549
tt1695793,5.8,395,nm3996936,"nm3996936,nm4191232"
tt1700274,8.1,9,nm2297386,"nm2297386,nm0049083"
tt1701202,7.6,78,nm0601345,"nm4007554,nm0601345"
tt1703923,6.0,657,nm0837406,"nm4050493,nm0837406"
tt1703958,5.8,5997,nm2439708,"nm2439708,nm2567850"
tt1705877,6.6,52,"nm2346369,nm2549243",nm0015339
tt1706450,6.6,3321,nm4022767,nm4022767
tt1709653,5.6,602,nm1205607,nm1205607
tt1709657,8.1,75,nm0886726,nm0886726
tt1709714,6.7,75,nm1379105,nm1379105
tt1713439,6.0,9,nm1137104,nm1137104
tt1714206,7.1,133887,nm1242054,"nm2354099,nm2352210,nm4043665"
tt1715352,2.9,257,nm2783533,"nm2783533,nm2079874"
tt1717690,6.5,86,nm3783540,nm3783540
tt1717736,7.2,8,nm2901939,nm2901939
tt1719496,6.4,160,nm2113581,"nm0059546,nm4059274,nm3209301,nm0408647,nm5554583,nm1339666,nm2113581,nm6033982,nm1277849"
tt1719671,6.9,18,nm0868072,"nm4079171,nm0868072"
tt1720161,6.4,10,nm1942726,"nm4344855,nm4062622,nm1942726,nm4061697,nm4344255,nm0000636"
tt1721131,6.4,13,nm4064361,nm4064361
tt1721494,6.1,458,nm3670185,nm3670185
tt1721680,6.9,15,nm2850112,nm2850112
tt1725995,7.6,2309,nm1802294,"nm3022002,nm3651125,nm1802294"
tt1726589,5.6,7229,nm0192478,"nm0192478,nm1269983"
tt1726661,5.2,422,nm0994342,nm2025890
tt1727519,4.1,458,nm4083526,nm4083526
tt1728196,7.4,6636,nm0586281,"nm1120067,nm0847668"
tt1728217,4.6,668,nm1175724,"nm0411702,nm2716655,nm1175724"
tt1728986,5.5,7359,nm1460159,"nm1182352,nm2678319,nm2260872"
tt1729218,6.0,623,nm2389602,"nm2389602,nm1628401"
tt1729659,7.7,10,"nm0147737,nm2035598,nm0467017,nm0304735,nm0074844",nm2035598
tt1733578,3.8,2280,"nm2405606,nm2408930",nm2405606
tt1735350,4.2,232,nm0482873,nm0482873
tt1735485,5.9,18038,nm2765527,"nm1456033,nm2026017"
tt1735952,6.9,8,nm2052156,nm2052156
tt1736000,1.4,5,nm4107158,"nm4106395,nm4107158"
tt1737724,6.1,81,nm0820901,nm0820901
tt1740117,8.7,60,nm0909707,nm0909707
tt1740539,1.9,636,nm0250625,nm0804477
tt1740684,6.1,76,nm1810275,nm1810275
tt1745959,4.9,56,nm1210671,nm1210671
tt1748055,8.7,6,"nm0383792,nm0813085",nm0813085
tt1748157,7.9,7,nm4132267,nm4132267
tt1748212,7.3,9,nm4132798,nm4131376
tt1753471,5.6,55,nm2780604,nm4186048
tt1753577,7.8,9,nm0506664,nm0506664
tt1753584,5.3,3526,"nm0000852,nm0036593","nm0021658,nm0036593"
tt1753728,7.9,8,nm2331799,nm4137743
tt1753780,7.8,11,nm3463239,"nm0064530,nm3463239,nm4777314"
tt1754602,7.8,5,nm0343270,nm0343270
tt1754750,4.8,158,nm0337882,nm0337882
tt1754950,6.2,5,"nm4151047,nm2688054",nm4151047
tt1756828,3.4,9,nm4145571,nm4145571
tt1758611,8.7,15,nm0296947,"nm1129111,nm4149631"
tt1758741,6.4,13,"nm3558945,nm1720122","nm3558945,nm1720122"
tt1759727,7.3,18,nm4150855,"nm0032816,nm3760656"
tt1763217,6.3,289,nm0079013,nm1182332
tt1764311,5.9,24,nm3496526,"nm3496526,nm4197120"
tt1764500,7.6,8,nm4159794,nm4159794
tt1765868,8.8,5,nm0944365,"nm6941009,nm9454400,nm0944365"
tt1766044,7.0,468,nm0514852,nm0514852
tt1772275,3.6,7,nm0355453,nm3171248
tt1773528,7.8,9,nm3057972,"nm3057085,nm3057972,nm2315440"
tt1773607,7.7,19,nm3073463,"nm3538888,nm3073463"
tt1773790,6.0,8,nm0500713,nm0500713
tt1776201,5.3,427,nm1420059,nm1420059
tt1779471,7.8,156,"nm2900728,nm1099908,nm0639143,nm3468390,nm3468895,nm4185715,nm2690401,nm2396165",nm1841673
tt1780934,7.8,10,nm1576363,nm1576363
tt1782562,6.7,14,nm2204754,nm2204754
tt1783311,6.1,799,nm0149134,nm0149134
tt1783377,7.0,848,nm0052677,nm0611971
tt1783384,6.8,37,"nm0147127,nm2224930","nm0147127,nm2224930"
tt1783392,5.0,447,nm0203496,nm0203496
tt1783393,7.0,87,nm0352355,"nm0352355,nm4195399,nm4195945"
tt1785525,7.9,9,nm2564117,nm4202110
tt1786411,6.9,16,nm2170199,"nm1496735,nm2170199"
tt1786652,8.0,27,nm0500139,"nm0500139,nm4204119"
tt1787741,4.2,12,nm0050012,"nm4207151,nm4206531,nm0050012"
tt1787777,6.9,3159,nm1427149,"nm1425662,nm1427149"
tt1789077,6.5,17,nm2348740,nm2348740
tt1791681,3.9,1890,nm2408930,"nm4215026,nm4111194"
tt1792647,6.8,7643,nm0011470,nm0011470
tt1792801,5.9,18,"nm2907429,nm2878629",nm2878629
tt1793223,5.6,1969,nm1359583,nm4218328
tt1793290,6.5,6,nm4217507,nm4218261
tt1793296,6.1,8,nm4217573,nm4217573
tt1796580,7.5,42,"nm1908575,nm4223986,nm4224124","nm1908575,nm4223986,nm4224124"
tt1796652,7.5,1503,nm0945282,"nm0945282,nm1323078"
tt1797449,6.1,878,nm1033668,nm1352198
tt1798162,6.3,16,nm3264525,nm3264525
tt1798164,5.4,27,nm2308714,"nm2981221,nm4229296,nm4227649,nm2308714,nm1754555"
tt1801512,6.2,6,nm0309982,nm0309982
tt1808197,6.5,10445,nm1741731,nm1741731
tt1808208,4.0,425,nm1429436,"nm1429436,nm3072166,nm3529223"
tt1810756,4.4,10,nm2180470,nm2180470
tt1814768,7.6,16,nm0108889,"nm0108889,nm1960444"
tt1815605,4.3,9,nm0059509,nm0059509
tt1815707,6.9,65,nm0256189,nm2084671
tt1815836,6.9,240,nm3070614,nm3070614
tt1817711,6.3,56,nm2202443,"nm0315445,nm0617252,nm2202443,nm4302531"
tt0758752,6.7,167680,nm0001880,"nm1017488,nm0001880,nm0380980,nm2168221"
tt0775461,5.4,70,nm0162166,"nm0162166,nm1190447,nm0832627"
tt0800054,7.8,68,nm0401827,"nm1288243,nm2256062,nm2254578"
tt0800092,4.3,6,nm3274445,"nm3274445,nm1380725,nm4088284"
tt0825282,6.5,121,nm0699095,"nm1290786,nm0699095,nm3714203"
tt0979434,5.0,10042,nm1336172,"nm2226110,nm1336172"
tt0985694,6.6,182320,"nm0001675,nm0542450","nm0001675,nm0736155"
tt10062286,5.9,14,nm4170979,"nm4170979,nm10564925"
tt10243678,6.5,1394,nm1966139,"nm5485355,nm1966139"
tt10254986,7.0,15,nm0865837,nm0865837
tt6494520,4.3,12,"nm1058880,nm7105478,nm7904457,nm8754091,nm7022902,nm4264391,nm6371426,nm5594460,nm5073247","nm7105478,nm7904457,nm7105476,nm4264391,nm5594460,nm1058880,nm5073247,nm6371426,nm8754091"
tt6505826,5.5,130,nm8761802,"nm8761802,nm5729711"
tt6506146,5.0,670,nm3151107,"nm2544631,nm3151107,nm5322975"
tt6522546,6.8,7930,nm1436693,"nm1828875,nm1436693"
tt6523386,6.9,117,nm6803958,nm3556602
tt6547822,3.7,26,nm3117093,"nm3420979,nm3117093,nm3116309"
tt6555772,5.8,1826,nm0258784,nm0258784
tt6558114,4.8,221,nm0025008,"nm0025008,nm8797899,nm0210522,nm0757488,nm0272626"
tt6579530,4.8,28,nm8294377,nm8294377
tt6582734,6.4,68,nm1365428,nm1365428
tt6589292,6.0,246,nm1738702,"nm3314119,nm1738702"
tt6590978,8.0,36,nm5366518,"nm5366518,nm8817250"
tt6594022,3.9,94,nm8818215,nm8818215
tt6597044,6.2,6,nm8819493,nm0007173
tt6612178,7.9,35,nm5716533,nm5716533
tt6636878,7.9,9,nm3994643,nm3029012
tt6677500,4.5,223,nm1088944,"nm8864279,nm7816909"
tt6679412,6.2,959,nm0602370,"nm0602370,nm0656011"
tt6704014,6.6,83,nm2157108,nm9870185
tt6710772,7.4,50,nm3900413,nm3900413
tt6712026,7.1,1598,nm0433895,"nm0433895,nm9509969,nm9198373"
tt6720674,6.5,27,nm2356856,nm2929694
tt6725484,7.1,590,nm0190389,"nm2268581,nm8927410"
tt6730644,6.5,8,nm6202137,nm6458915
tt6731592,7.9,95,nm0742534,"nm0742534,nm1825356,nm1393274"
tt6737494,8.9,23,"nm8898549,nm4825744,nm8898548",nm6115229
tt6742252,7.5,25267,nm7546166,"nm7546166,nm3764055"
tt6745192,6.8,12,nm3859710,nm3859710
tt6751046,7.6,18,nm8906597,"nm8906598,nm2832163"
tt6769280,5.7,3455,nm1577772,nm1577772
tt6778706,7.9,11,nm2598382,nm2598382
tt6780706,9.4,18,nm8923215,nm8923215
tt6806804,7.6,7,nm2919615,"nm0045796,nm2919615"
tt6828530,6.3,132,nm6418005,nm6418005
tt6831278,7.0,5,nm4699180,nm4699180
tt6844416,6.4,7,nm0684644,nm0684644
tt6845800,8.2,9,nm3551359,"nm3551359,nm8963634,nm8963633"
tt6850078,9.2,18,nm1837961,nm1837961
tt6857040,4.6,731,nm5323274,nm5323274
tt6858020,6.1,308,nm0076307,"nm1664210,nm0076307"
tt6866652,3.3,34,nm8978650,nm4874911
tt6867356,9.1,9,nm5723660,nm5723660
tt6871240,8.2,5,nm2202443,nm2202443
tt6888762,7.9,10,"nm8038651,nm8334874","nm8038651,nm8334874"
tt6892088,7.8,10,nm5991378,nm5991378
tt6901904,7.6,7,nm0137116,"nm4651142,nm0137116"
tt6910380,7.5,37,nm2803289,"nm9005176,nm2803289"
tt6922138,9.2,17,"nm2023295,nm9012567",nm9012567
tt6925204,5.4,14,nm7916958,"nm1195187,nm0664084,nm0664085,nm4607532"
tt6936264,6.2,6,nm6640071,nm6640071
tt6943606,8.0,9,nm3583561,nm3583561
tt6947800,6.9,93,nm6574444,nm6574444
tt6955130,6.1,41,nm1371044,nm7405428
tt6983064,6.7,6,"nm8582767,nm8578841","nm8578841,nm8582767"
tt7004152,7.0,88,nm5268094,nm7204936
tt7008774,4.5,6,nm9060355,nm9060355
tt7012864,6.3,1490,nm1768217,"nm5596147,nm5595774,nm4252592,nm1768217,nm5681452"
tt7021436,7.3,17,nm3288014,nm3288014
tt7024660,8.1,26,nm1443180,nm1443180
tt7026270,8.1,28,nm0122653,nm0122653
tt7027278,6.0,4189,nm0438461,"nm0438461,nm2837117"
tt7030048,5.2,22,nm1122888,"nm9072730,nm1122888"
tt7063474,7.9,10,nm9090154,nm9090154
tt7089878,7.2,503,nm2210720,"nm7075214,nm1027089"
tt7093188,8.2,24,nm8707194,"nm8707194,nm6025037"
tt7108862,3.7,145,nm4772560,nm5951142
tt7112166,5.4,31,nm2934654,nm2934654
tt7122516,7.5,13,nm4544031,"nm6250771,nm7922254,nm7922258,nm0363501,nm4932545"
tt7134214,7.5,16,"nm1363530,nm3867074","nm1363530,nm3867074,nm2052500"
tt7142712,7.1,114,nm0302780,"nm3036348,nm0302780,nm0874820"
tt7149066,6.5,39,nm3536350,"nm3536350,nm3574037"
tt7158582,7.4,439,nm3516131,nm3518744
tt7158686,5.1,873,nm3889354,"nm4374459,nm4389185,nm3889354"
tt7164084,6.9,11,nm0613984,nm0613984
tt7166214,6.8,185,"nm9149533,nm9149532","nm9149534,nm9149535,nm9149532"
tt7198146,8.0,5,nm9168307,"nm9168308,nm9168307"
tt7205630,6.0,601,"nm0218022,nm1086956","nm0218022,nm1086956"
tt7208564,5.3,2972,nm1625382,nm1625382
tt7217128,5.7,176,nm0687913,"nm0687913,nm0683875,nm2206926"
tt7223050,5.6,398,nm1197942,nm1852282
tt7225716,4.0,15,nm9183864,nm9183864
tt7228676,4.1,9,nm5521639,"nm9090216,nm5521639"
tt7239688,7.3,28,nm5764918,nm5764918
tt7254768,7.0,36,nm4897207,nm4897207
tt7256866,5.2,7728,nm2634746,"nm3171941,nm2634746"
tt7259100,5.1,160,nm4069291,"nm4069291,nm1497218,nm2181149"
tt7262052,6.6,299,nm3875677,"nm3875677,nm9207301"
tt7274816,3.7,7,nm2104585,nm8234766
tt7275980,5.1,28,nm9215844,"nm9215844,nm9215845"
tt7277330,8.6,5,nm1507117,nm2804902
tt7290740,6.3,40,nm0334930,nm0334930
tt7293844,7.2,26,nm1158424,"nm1158424,nm2090432"
tt7293920,6.8,20,nm2952421,nm6446224
tt7298028,9.1,28,nm3583561,nm3583561
tt7305634,7.9,35,nm6458915,nm6458915
tt7313218,6.7,87,nm5021504,"nm5021504,nm6598583"
tt7315526,4.9,1466,"nm2845202,nm2608588","nm2608588,nm2845202"
tt7316206,5.9,35,nm4649050,"nm9240190,nm2383584"
tt7323332,6.0,195,"nm9245317,nm9245314,nm9245316,nm8024844,nm9245315","nm3021199,nm9245314,nm9245331,nm9245332,nm9559015"
tt7341988,4.8,32,nm2508880,"nm2508880,nm9256349"
tt7342204,7.4,1105,nm0453477,nm9822497
tt7345928,6.5,57,nm9257856,nm10352330
tt7363356,7.2,10,"nm9266922,nm1235009","nm9266922,nm1235009"
tt7370188,6.9,310,nm3792294,nm8423987
tt7374968,6.8,43,nm2990576,nm2990576
tt7375556,5.4,115,"nm5523498,nm2769505","nm5523498,nm2769505"
tt7382572,6.4,44,nm0885338,nm0134995
tt7385518,7.4,18,nm6356973,"nm6356973,nm7993959"
tt7385580,8.5,14,nm9280238,nm9280238
tt7390044,6.4,69,nm0453720,nm0453720
tt7390380,7.0,54,nm9283262,nm9283262
tt7403574,5.1,81,nm2913370,nm2669989
tt7404894,6.7,9,nm3392822,"nm5315733,nm5936255,nm4905956,nm5936260,nm3392822"
tt7407950,6.9,19,nm1069179,nm3738444
tt7411202,8.8,10,nm8940850,nm8940850
tt7412738,6.3,793,nm3464122,"nm2286188,nm4199426"
tt7416102,5.2,50,nm0322894,"nm0322894,nm9296874"
tt7419468,6.3,236,nm3070908,"nm3070908,nm9298471"
tt7421764,5.4,7,nm9291812,nm9291812
tt7424410,4.2,103,nm1044237,nm9300850
tt7429318,7.1,46,nm9303218,"nm9303225,nm9303218,nm9303224"
tt7429708,6.2,867,nm2155679,nm2155679
tt7433980,6.8,110,nm0076081,"nm2685020,nm5680782"
tt7436642,7.7,1842,nm0903837,"nm1385719,nm0903837"
tt7446940,4.3,6,nm1349956,nm1349956
tt7451284,5.6,13943,nm2459558,"nm0620040,nm1818154,nm1547283,nm0004170,nm0277730,nm0938379,nm1303925,nm0227704,nm0863622,nm1570426,nm1198528,nm1439645,nm0112357,nm0408639,nm1066073,nm1189825,nm1634601"
tt7457108,5.1,51,nm0873488,nm9867588
tt7460834,7.9,26,nm7387151,"nm9318858,nm7387151"
tt7467324,6.6,377,nm3620652,"nm3620652,nm9458192"
tt7470398,8.0,5,nm2912740,nm2912740
tt7475708,7.2,22,nm3266323,nm3266323
tt7484546,5.6,9,nm0891580,nm0891580
tt7520478,3.6,13,nm4322119,nm8690562
tt7524472,6.8,8,"nm1096029,nm1293450","nm1096029,nm1293450"
tt7526316,6.9,23,nm3634486,"nm4409306,nm5605482,nm3634486,nm8611400"
